"Filenames" "Genotype"
"1" "/projects/moush/jacob/Markx_22q11/Markx_22q11_14jul11_ANTS_processed/22q11_1231.jan2011_distortion_corrected/stats-volumes/22q11_1231.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "DEL"
"2" "/projects/moush/jacob/Markx_22q11/Markx_22q11_14jul11_ANTS_processed/22q11_1233.jan2011_distortion_corrected/stats-volumes/22q11_1233.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "DEL"
"3" "/projects/moush/jacob/Markx_22q11/Markx_22q11_14jul11_ANTS_processed/22q11_1234.jan2011_distortion_corrected/stats-volumes/22q11_1234.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"4" "/projects/moush/jacob/Markx_22q11/Markx_22q11_14jul11_ANTS_processed/22q11_1238.jan2011_distortion_corrected/stats-volumes/22q11_1238.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "DEL"
"5" "/projects/moush/jacob/Markx_22q11/Markx_22q11_14jul11_ANTS_processed/22q11_1239.jan2011_distortion_corrected/stats-volumes/22q11_1239.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"6" "/projects/moush/jacob/Markx_22q11/Markx_22q11_14jul11_ANTS_processed/22q11_1263.jan2011_distortion_corrected/stats-volumes/22q11_1263.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "DEL"
"7" "/projects/moush/jacob/Markx_22q11/Markx_22q11_14jul11_ANTS_processed/22q11_1265.jan2011_distortion_corrected/stats-volumes/22q11_1265.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"8" "/projects/moush/jacob/Markx_22q11/Markx_22q11_14jul11_ANTS_processed/22q11_1266.jan2011_distortion_corrected/stats-volumes/22q11_1266.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "DEL"
"9" "/projects/moush/jacob/Markx_22q11/Markx_22q11_14jul11_ANTS_processed/22q11_1277.jan2011_distortion_corrected/stats-volumes/22q11_1277.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "DEL"
"10" "/projects/moush/jacob/Markx_22q11/Markx_22q11_14jul11_ANTS_processed/22q11_1278.jan2011_distortion_corrected/stats-volumes/22q11_1278.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"11" "/projects/moush/jacob/Markx_22q11/Markx_22q11_14jul11_ANTS_processed/22q11_1279.jan2011_distortion_corrected/stats-volumes/22q11_1279.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "DEL"
"12" "/projects/moush/jacob/Markx_22q11/Markx_22q11_14jul11_ANTS_processed/22q11_1280.jan2011_distortion_corrected/stats-volumes/22q11_1280.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"13" "/projects/moush/jacob/Markx_22q11/Markx_22q11_14jul11_ANTS_processed/22q11_1287.jan2011_distortion_corrected/stats-volumes/22q11_1287.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "DEL"
"14" "/projects/moush/jacob/Markx_22q11/Markx_22q11_14jul11_ANTS_processed/22q11_1295.jan2011_distortion_corrected/stats-volumes/22q11_1295.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "DEL"
"15" "/projects/moush/jacob/Markx_22q11/Markx_22q11_14jul11_ANTS_processed/22q11_1297.jan2011_distortion_corrected/stats-volumes/22q11_1297.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"16" "/projects/moush/jacob/Markx_22q11/Markx_22q11_14jul11_ANTS_processed/22q11_1319.jan2011_distortion_corrected/stats-volumes/22q11_1319.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "DEL"
"17" "/projects/moush/jacob/Markx_22q11/Markx_22q11_14jul11_ANTS_processed/22q11_1323.jan2011_distortion_corrected/stats-volumes/22q11_1323.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"18" "/projects/moush/jacob/Markx_22q11/Markx_22q11_14jul11_ANTS_processed/22q11_1329.jan2011_distortion_corrected/stats-volumes/22q11_1329.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"19" "/projects/moush/jacob/Markx_22q11/Markx_22q11_14jul11_ANTS_processed/22q11_1330.jan2011_distortion_corrected/stats-volumes/22q11_1330.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"20" "/projects/moush/jacob/Markx_22q11/Markx_22q11_14jul11_ANTS_processed/22q11_682.jan2011_distortion_corrected/stats-volumes/22q11_682.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
