"Filenames" "Genotype"
"1" "/projects/moush/jacob/Markx_CASPR2/Markx_CASPR2_21Jun11_ANTS_processed/img_01apr11.2.jan2011_distortion_corrected/stats-volumes/img_01apr11.2.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "Homo"
"2" "/projects/moush/jacob/Markx_CASPR2/Markx_CASPR2_21Jun11_ANTS_processed/img_22mar11.11.jan2011_distortion_corrected/stats-volumes/img_22mar11.11.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "Homo"
"3" "/projects/moush/jacob/Markx_CASPR2/Markx_CASPR2_21Jun11_ANTS_processed/img_22mar11.1.jan2011_distortion_corrected/stats-volumes/img_22mar11.1.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "Homo"
"4" "/projects/moush/jacob/Markx_CASPR2/Markx_CASPR2_21Jun11_ANTS_processed/img_22mar11.2.jan2011_distortion_corrected/stats-volumes/img_22mar11.2.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"5" "/projects/moush/jacob/Markx_CASPR2/Markx_CASPR2_21Jun11_ANTS_processed/img_22mar11.3.jan2011_distortion_corrected/stats-volumes/img_22mar11.3.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "Hetero"
"6" "/projects/moush/jacob/Markx_CASPR2/Markx_CASPR2_21Jun11_ANTS_processed/img_22mar11.4.jan2011_distortion_corrected/stats-volumes/img_22mar11.4.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "Hetero"
"7" "/projects/moush/jacob/Markx_CASPR2/Markx_CASPR2_21Jun11_ANTS_processed/img_22mar11.6.jan2011_distortion_corrected/stats-volumes/img_22mar11.6.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "Hetero"
"8" "/projects/moush/jacob/Markx_CASPR2/Markx_CASPR2_21Jun11_ANTS_processed/img_22mar11.7.jan2011_distortion_corrected/stats-volumes/img_22mar11.7.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "Homo"
"9" "/projects/moush/jacob/Markx_CASPR2/Markx_CASPR2_21Jun11_ANTS_processed/img_22mar11.8.jan2011_distortion_corrected/stats-volumes/img_22mar11.8.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "Homo"
"10" "/projects/moush/jacob/Markx_CASPR2/Markx_CASPR2_21Jun11_ANTS_processed/img_23mar11.11.jan2011_distortion_corrected/stats-volumes/img_23mar11.11.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "Hetero"
