"Filenames" "Genotype" "Sex"
"1" "/projects/moush/jacob/Askalan_NF1/NF1_12nov12_ANTS_processed/NF1_09-18122-00.november_2007_distortion_corrected/stats-volumes/NF1_09-18122-00.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "Het" "F"
"2" "/projects/moush/jacob/Askalan_NF1/NF1_12nov12_ANTS_processed/NF1_09-18122-04.november_2007_distortion_corrected/stats-volumes/NF1_09-18122-04.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "F"
"3" "/projects/moush/jacob/Askalan_NF1/NF1_12nov12_ANTS_processed/NF1_09-18122-05.november_2007_distortion_corrected/stats-volumes/NF1_09-18122-05.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "Het" "F"
"4" "/projects/moush/jacob/Askalan_NF1/NF1_12nov12_ANTS_processed/NF1_09-18122-07.november_2007_distortion_corrected/stats-volumes/NF1_09-18122-07.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "F"
"5" "/projects/moush/jacob/Askalan_NF1/NF1_12nov12_ANTS_processed/NF1_09-18305-02.november_2007_distortion_corrected/stats-volumes/NF1_09-18305-02.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "F"
"6" "/projects/moush/jacob/Askalan_NF1/NF1_12nov12_ANTS_processed/NF1_09-18305-04.november_2007_distortion_corrected/stats-volumes/NF1_09-18305-04.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "Het" "F"
"7" "/projects/moush/jacob/Askalan_NF1/NF1_12nov12_ANTS_processed/NF1_09-18305-05.november_2007_distortion_corrected/stats-volumes/NF1_09-18305-05.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "Het" "F"
"8" "/projects/moush/jacob/Askalan_NF1/NF1_12nov12_ANTS_processed/NF1_09-18855-04.november_2007_distortion_corrected/stats-volumes/NF1_09-18855-04.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "Het" "M"
"9" "/projects/moush/jacob/Askalan_NF1/NF1_12nov12_ANTS_processed/NF1_09-18855-06.november_2007_distortion_corrected/stats-volumes/NF1_09-18855-06.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "M"
"10" "/projects/moush/jacob/Askalan_NF1/NF1_12nov12_ANTS_processed/NF1_09-19019-00.november_2007_distortion_corrected/stats-volumes/NF1_09-19019-00.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "Het" "M"
"11" "/projects/moush/jacob/Askalan_NF1/NF1_12nov12_ANTS_processed/NF1_09-19019-01.november_2007_distortion_corrected/stats-volumes/NF1_09-19019-01.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "Het" "M"
"12" "/projects/moush/jacob/Askalan_NF1/NF1_12nov12_ANTS_processed/NF1_09-19019-02.november_2007_distortion_corrected/stats-volumes/NF1_09-19019-02.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "F"
"13" "/projects/moush/jacob/Askalan_NF1/NF1_12nov12_ANTS_processed/NF1_09-19019-03.november_2007_distortion_corrected/stats-volumes/NF1_09-19019-03.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "Het" "F"
"14" "/projects/moush/jacob/Askalan_NF1/NF1_12nov12_ANTS_processed/NF1_09-19019-04.november_2007_distortion_corrected/stats-volumes/NF1_09-19019-04.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "Het" "F"
"15" "/projects/moush/jacob/Askalan_NF1/NF1_12nov12_ANTS_processed/NF1_09-19019-05.november_2007_distortion_corrected/stats-volumes/NF1_09-19019-05.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "M"
"16" "/projects/moush/jacob/Askalan_NF1/NF1_12nov12_ANTS_processed/NF1_09-19019-07.november_2007_distortion_corrected/stats-volumes/NF1_09-19019-07.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "F"
"17" "/projects/moush/jacob/Askalan_NF1/NF1_12nov12_ANTS_processed/NF1_09-19019-08.november_2007_distortion_corrected/stats-volumes/NF1_09-19019-08.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "Het" "F"
"18" "/projects/moush/jacob/Askalan_NF1/NF1_12nov12_ANTS_processed/NF1_09-20456-01.november_2007_distortion_corrected/stats-volumes/NF1_09-20456-01.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "F"
"19" "/projects/moush/jacob/Askalan_NF1/NF1_12nov12_ANTS_processed/NF1_09-20456-04.november_2007_distortion_corrected/stats-volumes/NF1_09-20456-04.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "F"
