"Filenames" "Genotype" "Sex"
"1" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5174.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5174.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "M"
"2" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5177.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5177.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "M"
"3" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5179.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5179.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "M"
"4" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5181.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5181.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI" "F"
"5" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5184.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5184.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI" "M"
"6" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5185.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5185.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI" "F"
"7" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5237.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5237.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI" "F"
"8" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5241.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5241.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI" "F"
"9" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5306.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5306.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI" "F"
"10" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5309.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5309.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI" "F"
"11" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5310.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5310.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI" "M"
"12" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5311.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5311.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "F"
"13" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5312.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5312.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI" "M"
"14" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5313.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5313.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI" "F"
"15" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5315.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5315.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI" "F"
"16" "/projects/moush/jacob/Veenstra_VanderWeele_SERT_129/VVW_SERTKI_129_06Mar13_ANTS_processed/VVW_SERTKI_129_5317.jan2011_distortion_corrected/stats-volumes/VVW_SERTKI_129_5317.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "M"
