"Filenames" "Genotype" "Sex"
"1" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_2778.jan2011_distortion_corrected/stats-volumes/VVW_Sert_2778.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI" "M"
"2" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_2783.jan2011_distortion_corrected/stats-volumes/VVW_Sert_2783.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "M"
"3" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_2794.jan2011_distortion_corrected/stats-volumes/VVW_Sert_2794.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "M"
"4" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_2821.jan2011_distortion_corrected/stats-volumes/VVW_Sert_2821.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI" "M"
"5" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_2823.jan2011_distortion_corrected/stats-volumes/VVW_Sert_2823.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "M"
"6" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_2836.jan2011_distortion_corrected/stats-volumes/VVW_Sert_2836.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI" "M"
"7" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_2857.jan2011_distortion_corrected/stats-volumes/VVW_Sert_2857.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI" "M"
"8" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_2859.jan2011_distortion_corrected/stats-volumes/VVW_Sert_2859.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI" "M"
"9" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_2863.jan2011_distortion_corrected/stats-volumes/VVW_Sert_2863.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "M"
"10" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_2866.jan2011_distortion_corrected/stats-volumes/VVW_Sert_2866.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI" "M"
"11" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_2878.jan2011_distortion_corrected/stats-volumes/VVW_Sert_2878.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "M"
