"Filenames" "Genotype" "Sex"
"1" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_001.jan2011_distortion_corrected/stats-volumes/SERT_001.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "M"
"2" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_002.jan2011_distortion_corrected/stats-volumes/SERT_002.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "M"
"3" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_003.jan2011_distortion_corrected/stats-volumes/SERT_003.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO" "M"
"4" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_004.jan2011_distortion_corrected/stats-volumes/SERT_004.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO" "M"
"5" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_005.jan2011_distortion_corrected/stats-volumes/SERT_005.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO" "M"
"6" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_006.jan2011_distortion_corrected/stats-volumes/SERT_006.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "M"
"7" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_007.jan2011_distortion_corrected/stats-volumes/SERT_007.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO" "M"
"8" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_008.jan2011_distortion_corrected/stats-volumes/SERT_008.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "M"
"9" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_009.jan2011_distortion_corrected/stats-volumes/SERT_009.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "M"
"10" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_010.jan2011_distortion_corrected/stats-volumes/SERT_010.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO" "M"
