"Filenames" "Genotype"
"1" "/projects/moush/jacob/SHANK3_exon21/SH3_e21_26Feb12_ANTS_processed/SH3_e21_8628.jan2011_distortion_corrected/stats-volumes/SH3_e21_8628.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "Het"
"2" "/projects/moush/jacob/SHANK3_exon21/SH3_e21_26Feb12_ANTS_processed/SH3_e21_8629.jan2011_distortion_corrected/stats-volumes/SH3_e21_8629.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"3" "/projects/moush/jacob/SHANK3_exon21/SH3_e21_26Feb12_ANTS_processed/SH3_e21_8630.jan2011_distortion_corrected/stats-volumes/SH3_e21_8630.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "Het"
"4" "/projects/moush/jacob/SHANK3_exon21/SH3_e21_26Feb12_ANTS_processed/SH3_e21_8631.jan2011_distortion_corrected/stats-volumes/SH3_e21_8631.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"5" "/projects/moush/jacob/SHANK3_exon21/SH3_e21_26Feb12_ANTS_processed/SH3_e21_8649.jan2011_distortion_corrected/stats-volumes/SH3_e21_8649.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "Hom"
"6" "/projects/moush/jacob/SHANK3_exon21/SH3_e21_26Feb12_ANTS_processed/SH3_e21_8651.jan2011_distortion_corrected/stats-volumes/SH3_e21_8651.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "Hom"
"7" "/projects/moush/jacob/SHANK3_exon21/SH3_e21_26Feb12_ANTS_processed/SH3_e21_8848.jan2011_distortion_corrected/stats-volumes/SH3_e21_8848.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "Het"
"8" "/projects/moush/jacob/SHANK3_exon21/SH3_e21_26Feb12_ANTS_processed/SH3_e21_8849.jan2011_distortion_corrected/stats-volumes/SH3_e21_8849.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "Het"
"9" "/projects/moush/jacob/SHANK3_exon21/SH3_e21_26Feb12_ANTS_processed/SH3_e21_8850.jan2011_distortion_corrected/stats-volumes/SH3_e21_8850.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "Hom"
"10" "/projects/moush/jacob/SHANK3_exon21/SH3_e21_26Feb12_ANTS_processed/SH3_e21_8851.jan2011_distortion_corrected/stats-volumes/SH3_e21_8851.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
